groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.6-1
gst-devtools-libs 1.28.7-1
gst-editing-services 1.28.7-1
gst-plugin-gtk4 0.15.3-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.7-1
gst-plugins-bad-libs 1.28.7-1
gst-plugins-base 1.28.7-1
gst-plugins-base-libs 1.28.7-1
gst-plugins-good 1.28.7-1
gst-python 1.28.7-1
gst-thumbnailers 1.1.0-2
gstreamer 1.28.7-1
gtest 1.18.0-1
gtk-update-icon-cache 1:4.22.5-1
gtk3 1:3.24.52-1
gtk4 1:4.22.5-1
gtksourceview5 5.20.0-1
guile 3.0.11-1
gulp 5.0.1-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-av 0.14.5-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.3-3
gvfs-afc 1.60.3-3
gvfs-dnssd 1.60.3-3
gvfs-goa 1.60.3-3
gvfs-gphoto2 1.60.3-3
gvfs-mtp 1.60.3-3
gvfs-nfs 1.60.3-3
gvfs-onedrive 1.60.3-3
gvfs-smb 1.60.3-3
gvfs-wsdd 1.60.3-3
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.5.0-1
harfbuzz-icu 14.5.0-1
hdf5 2.2.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hitech-arch-animation r11.4c02962-1
htop 3.5.3-1
hunspell 1.7.3-1
hwdata 0.411-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hypremoji 1.3.0-1
hyprgraphics 0.5.1-4
hyprland 0.56.2-3
hyprland-guiutils 0.2.2-3
hyprlang 0.6.8-5
hyprmod 0.4.0-3
hyprpicker 0.4.7-4
hyprtoolkit 0.5.4-6
hyprutils 0.14.2-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
i2c-tools 4.4-4
iana-etc 20260617-1
ibus 1.5.34-1
icu 78.3-1
iio-sensor-proxy 3.9-1
imagemagick 7.1.2.31-1
imath 3.2.3-1
imlib2 1.12.7-3
iniparser 4.3.0-1
inotify-tools 4.25.9.0-1
intel-compute-runtime 26.35.39758.10-1
intel-gmmlib 22.10.0-1
intel-graphics-compiler 1:2.41.5-1
intel-media-driver 26.2.4-1
intltool 0.51.0-6
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
jadx 1.5.6-1
jansson 2.15.1-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbigkit 2.1-8
jdk-openjdk 26.0.2.1.u1-1
jdk11-openjdk 11.0.32.1.u1-1
jemalloc 1:5.4.0-1
jq 1.8.2-1
js140 140.16.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.8-1
karchive 6.30.0-1
karchive5 5.116.0-3
kauth5 5.116.0-2
kbd 2.10.0-1
kbookmarks 6.30.0-1
kcmutils 6.30.0-1
kcodecs 6.30.0-1
kcodecs5 5.116.0-2
kcolorscheme 6.30.0-1
kcompletion 6.30.0-1
kconfig 6.30.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.30.0-1
kconfigwidgets5 5.116.0-3
kcoreaddons 6.30.0-1
kcoreaddons5 5.116.0-2
kcrash 6.30.0-1
kdbusaddons 6.30.0-1
kdecoration 6.7.5-1
kdnssd 6.30.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-4
kfilemetadata 6.30.0-1
kglobalaccel 6.30.0-1
kguiaddons 6.30.0-1
kguiaddons5 5.116.0-2
ki18n 6.30.0-1
ki18n5 5.116.0-2
kiconthemes 6.30.0-1
kiconthemes5 5.116.0-2
kidletime 6.30.0-1
kio 6.30.0-1
kio-extras 26.08.1-1
kirigami 6.30.0-1
kitemviews 6.30.0-1
kjobwidgets 6.30.0-1
kmod 34.2-1
knewstuff 6.30.0-1
knotifications 6.30.0-1
kpackage 6.30.0-1
kparts 6.30.0-1
krb5 1.22.2-1
kservice 6.30.0-1
ksvg 6.30.0-1
ktextwidgets 6.30.0-1
kuserfeedback 6.30.0-1
kwallet 6.30.0-1
kwidgetsaddons 6.30.0-1
kwidgetsaddons5 5.116.0-2
kwindowsystem 6.30.0-1
kxmlgui 6.30.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazygit 0.65.1-1
lcms2 2.19.1-1
ldb 2:4.24.7-1
leancrypto 1.9.0-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.22.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.4-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.196-2
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.4-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.7.1-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnm 1.58.1-2
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.9-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.24.1-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.2-1
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.4-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxxf86vm 1.1.7-1
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.2.3-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.40-1
lib32-nss 3.129-1
lib32-nvidia-utils 615.71.09-1
lib32-openssl 1:3.6.4-1
lib32-opus 1.6.1-1
lib32-p11-kit 0.26.5-1
lib32-pcre2 10.48-1
lib32-pipewire 1:1.6.9-1
lib32-spirv-tools 1:1.4.357.0-1
